,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total
0,PR,0.18,E,VS1,,"1,188",214
1,PR,0.18,D,VS2,,696,125
2,PR,0.18,E,IF,EX,696,125
3,PR,0.19,D,VS2,,"1,152",219
4,PR,0.19,G,VVS1,,"1,176",224
5,PR,0.19,F,IF,EX,861,164
6,PR,0.20,D,VS1,,928,186
7,PR,0.22,D,VVS1,,"1,096",241
8,PR,0.22,D,SI1,,922,203
9,PR,0.23,F,VS2,,"1,330",306
10,PR,0.23,D,VS2,,"1,330",306
11,PR,0.23,J,VS2,,941,216
12,PR,0.23,E,VS2,,"1,120",258
13,PR,0.23,G,VVS2,,991,228
14,PR,0.23,F,SI2,,893,205
15,PR,0.23,H,VS1,,936,215
16,PR,0.23,E,VS2,EX,647,149
17,PR,0.23,F,VVS2,EX,744,171
18,PR,0.23,E,VVS2,EX,744,171
19,PR,0.23,H,SI1,,873,201
20,PR,0.24,F,VS2,,"1,190",286
21,PR,0.24,G,VVS1,,"1,269",304
22,PR,0.24,I,VVS2,,"1,062",255
23,PR,0.24,H,VS2,,"1,089",261
24,PR,0.24,D,VS2,,"1,200",288
25,PR,0.24,E,VS1,EX,880,211
26,PR,0.24,D,VVS1,,"1,288",309
27,PR,0.25,E,VS1,,"1,000",250
28,PR,0.25,I,VS1,,891,223
29,PR,0.25,E,SI2,,893,223
30,PR,0.26,I,VS1,,941,245
31,PR,0.26,D,VS1,,"1,110",289
32,PR,0.26,E,VS2,,"1,100",286
33,PR,0.26,D,VVS2,,"1,369",356
34,PR,0.27,F,VS1,,"1,190",321
35,PR,0.27,H,VS2,,"1,150",310
36,PR,0.27,J,VVS2,,"1,121",303
37,PR,0.27,E,VS1,EX,"1,021",276
38,PR,0.28,D,VS1,,"1,092",306
39,PR,0.28,G,VS2,,"1,060",297
40,PR,0.28,J,SI2,,770,216
41,PR,0.28,E,VVS1,EX,"1,049",294
42,PR,0.29,F,VS2,,"1,316",382
43,PR,0.29,E,VS1,,"1,000",290
44,PR,0.29,D,VS2,,"1,165",338
45,PR,0.29,D,SI2,,980,284
46,PR,0.29,F,VS1,,"1,330",386
47,PR,0.29,G,VVS1,,"1,452",421
48,PR,0.29,F,SI1,,900,261
49,PR,0.29,E,SI1,,990,287
50,PR,0.29,F,VS2,,"1,260",365
51,PR,0.30,I,VS2,,900,270
52,PR,0.30,F,VS2,,"1,171",351
53,PR,0.30,E,VS2,,"1,314",394
54,PR,0.30,H,VVS1,,"1,070",321
55,PR,0.30,F,VVS1,,"1,428",428
56,PR,0.30,D,VS1,,"1,470",441
57,PR,0.30,F,VVS1,,"1,470",441
58,PR,0.30,D,VS1,,"1,449",435
59,PR,0.30,E,VS2,,"1,260",378
60,PR,0.30,H,VVS1,,"1,242",373
61,PR,0.30,D,VS2,,"1,330",399
62,PR,0.30,I,VVS1,,"1,104",331
63,PR,0.30,E,VS2,,"1,260",378
64,PR,0.30,F,VVS2,,"1,360",408
65,PR,0.30,D,VS2,,"1,330",399
66,PR,0.30,F,VVS1,,"1,428",428
67,PR,0.30,E,VS2,,"1,206",362
68,PR,0.30,D,VS2,,"1,292",388
69,PR,0.30,D,VS2,,"1,292",388
70,PR,0.30,G,VVS1,,"1,320",396
71,PR,0.30,D,VVS1,,"1,675",502
72,PR,0.30,H,VS1,,"1,120",336
73,PR,0.30,E,VVS2,,"1,575",472
74,PR,0.30,D,SI1,,"1,360",408
75,PR,0.30,G,VS1,,"1,350",405
76,PR,0.30,D,VS1,,"1,449",435
77,PR,0.30,F,VS1,,"1,330",399
78,PR,0.30,D,VVS2,,"1,445",434
79,PR,0.30,E,VVS2,,"1,150",345
80,PR,0.30,I,SI1,,948,284
81,PR,0.30,E,VS2,,"1,201",360
82,PR,0.30,D,VVS1,,"1,175",352
83,PR,0.30,E,SI1,,"1,008",302
84,PR,0.30,J,VVS1,,975,292
85,PR,0.30,E,VS1,,"1,340",402
86,PR,0.30,E,VS1,,"1,360",408
87,PR,0.30,F,VS1,,"1,311",393
88,PR,0.30,D,VS1,,"1,217",365
89,PR,0.30,F,VVS2,,"1,320",396
90,PR,0.30,D,VS1,,"1,202",361
91,PR,0.30,D,VS1,,"1,181",354
92,PR,0.30,D,VS1,,"1,176",353
93,PR,0.30,D,VS1,,"1,166",350
94,PR,0.30,D,VS1,,"1,228",369
95,PR,0.30,D,VS1,,"1,213",364
96,PR,0.30,E,VVS2,,"1,181",354
97,PR,0.30,E,VVS1,,"1,322",397
98,PR,0.30,E,VVS2,,"1,218",365
99,PR,0.30,E,VVS2,,"1,218",365
100,PR,0.30,E,VVS1,,"1,248",374
101,PR,0.30,F,VS2,,960,288
102,PR,0.30,E,VS2,,"1,170",351
103,PR,0.30,D,SI1,,"1,122",337
104,PR,0.30,D,VS1,,"1,323",397
105,PR,0.30,F,VS1,,"1,216",365
106,PR,0.30,E,VS2,,"1,170",351
107,PR,0.30,D,VVS2,,"1,472",442
108,PR,0.30,E,VVS2,,"1,323",397
109,PR,0.30,E,VVS2,,"1,281",384
110,PR,0.30,E,VVS1,,"1,472",442
111,PR,0.30,E,VS2,,"1,170",351
112,PR,0.30,E,VVS2,,"1,281",384
113,PR,0.30,E,VVS2,,"1,281",384
114,PR,0.30,D,VS1,,"1,323",397
115,PR,0.30,G,VVS1,,"1,120",336
116,PR,0.30,D,VS1,,"1,407",422
117,PR,0.30,E,VVS2,,"1,344",403
118,PR,0.30,D,VS1,,"1,350",405
119,PR,0.30,H,VVS1,,"1,186",356
120,PR,0.30,D,VVS2,,"1,276",383
121,PR,0.30,D,VS1,,"1,218",365
122,PR,0.30,E,VS1,,"1,155",346
123,PR,0.30,D,VVS1,,"1,875",562
124,PR,0.30,D,VVS1,,"1,875",562
125,PR,0.30,E,VVS2,,"1,470",441
126,PR,0.30,F,VVS1,,"1,575",472
127,PR,0.30,D,VS1,,"1,166",350
128,PR,0.30,E,VS1,,"1,080",324
129,PR,0.30,E,VS1,,"1,080",324
130,PR,0.30,D,VVS2,,"1,242",373
131,PR,0.30,D,VVS2,,"1,242",373
132,PR,0.30,I,VVS1,,928,278
133,PR,0.30,E,VS2,,"1,152",346
134,PR,0.30,E,VS1,,"1,160",348
135,PR,0.30,D,VVS1,,"1,200",360
136,PR,0.30,E,VS2,,"1,620",486
137,PR,0.30,D,VS2,,"1,121",336
138,PR,0.30,D,VS2,,"1,135",341
139,PR,0.30,D,VVS1,,"1,381",414
140,PR,0.30,D,VVS1,,"1,281",384
141,PR,0.30,D,IF,,"1,624",487
142,PR,0.30,D,VVS2,,"1,340",402
143,PR,0.30,D,VVS1,,"1,256",377
144,PR,0.30,D,VVS2,,"1,276",383
145,PR,0.30,E,VS2,,"1,242",373
146,PR,0.30,D,VS2,,"1,292",388
147,PR,0.30,E,VS2,,"1,494",448
148,PR,0.30,E,VVS1,,"1,150",345
149,PR,0.30,E,IF,,"1,362",409
150,PR,0.30,E,SI2,,679,204
151,PR,0.30,F,IF,,"1,150",345
152,PR,0.30,F,IF,,"1,282",385
153,PR,0.30,G,IF,,"1,160",348
154,PR,0.30,G,IF,,"1,197",359
155,PR,0.30,I,VVS1,,944,283
156,PR,0.30,I,VVS1,,928,278
157,PR,0.30,E,VS2,,936,281
158,PR,0.30,D,VVS1,,"1,431",429
159,PR,0.30,D,SI1,,918,275
160,PR,0.30,D,VVS2,,"1,317",395
161,PR,0.30,D,VVS2,,"1,236",371
162,PR,0.30,E,VVS1,,"1,127",338
163,PR,0.30,I,VS1,,980,294
164,PR,0.30,H,VS1,,"1,136",341
165,PR,0.30,D,VS1,,"1,150",345
166,PR,0.30,H,VS2,,908,272
167,PR,0.30,H,VS2,,950,285
168,PR,0.30,G,VS2,,"1,038",311
169,PR,0.30,F,VS2,,"1,018",305
170,PR,0.30,D,VVS2,,"1,340",402
171,PR,0.30,F,VVS1,,"1,076",323
172,PR,0.30,I,VVS1,,"1,136",341
173,PR,0.30,I,VS1,,"1,120",336
174,PR,0.30,I,VS2,,"1,116",335
175,PR,0.30,I,VVS1,,"1,136",341
176,PR,0.30,I,VVS1,,"1,136",341
177,PR,0.30,D,VS1,,"1,265",380
178,PR,0.30,F,VS2,,935,280
179,PR,0.30,D,VVS2,,"1,196",359
180,PR,0.30,D,VS2,,"1,130",339
181,PR,0.30,H,VVS2,,"1,084",325
182,PR,0.30,H,VS1,,"1,052",316
183,PR,0.30,D,VS1,EX,"1,231",369
184,PR,0.30,D,VS1,EX,"1,188",356
185,PR,0.30,D,VS1,EX,"1,144",343
186,PR,0.30,D,VS1,EX,"1,209",363
187,PR,0.30,D,VS2,ID,"1,094",328
188,PR,0.30,E,VS1,EX,"1,151",345
189,PR,0.30,E,VS1,EX,"1,151",345
190,PR,0.30,D,VS2,,"1,178",353
191,PR,0.30,E,SI1,,964,289
192,PR,0.30,F,VVS1,,"1,150",345
193,PR,0.30,H,VVS2,,"1,037",311
194,PR,0.30,H,VS2,,"1,008",302
195,PR,0.30,I,VVS2,,862,259
196,PR,0.30,H,VVS2,,"1,360",408
197,PR,0.30,H,SI2,,946,284
198,PR,0.30,G,VVS2,,"1,520",456
199,PR,0.30,F,VVS2,,"1,540",462
200,PR,0.30,E,VVS1,,"1,248",374
201,PR,0.30,F,VS2,,960,288
202,PR,0.30,E,VS2,,"1,170",351
203,PR,0.30,D,SI1,,"1,122",337
204,PR,0.30,D,VS1,,"1,323",397
205,PR,0.30,F,VS1,,"1,216",365
206,PR,0.30,E,VS2,,"1,170",351
207,PR,0.30,D,VVS2,,"1,472",442
208,PR,0.30,E,VVS2,,"1,323",397
209,PR,0.30,E,VVS2,,"1,281",384
210,PR,0.30,E,VVS1,,"1,472",442
211,PR,0.30,E,VS2,,"1,170",351
212,PR,0.30,E,VVS2,,"1,281",384
213,PR,0.30,E,VVS2,,"1,281",384
214,PR,0.30,D,VS1,,"1,323",397
215,PR,0.30,G,VVS1,,"1,120",336
216,PR,0.30,D,VS1,,"1,407",422
217,PR,0.30,E,VVS2,,"1,344",403
218,PR,0.30,D,VS1,,"1,350",405
219,PR,0.30,H,VVS1,,"1,186",356
220,PR,0.30,D,VVS2,,"1,276",383
221,PR,0.30,D,VS1,,"1,218",365
222,PR,0.30,E,VS1,,"1,155",346
223,PR,0.30,D,VVS1,,"1,875",562
224,PR,0.30,D,VVS1,,"1,875",562
225,PR,0.30,E,VVS2,,"1,470",441
226,PR,0.30,F,VVS1,,"1,575",472
227,PR,0.30,D,VS1,,"1,166",350
228,PR,0.30,E,VS1,,"1,080",324
229,PR,0.30,E,VS1,,"1,080",324
230,PR,0.30,D,VVS2,,"1,242",373
231,PR,0.30,D,VVS2,,"1,242",373
232,PR,0.30,I,VVS1,,928,278
233,PR,0.30,E,VS2,,"1,152",346
234,PR,0.30,E,VS1,,"1,160",348
235,PR,0.30,D,VVS1,,"1,200",360
236,PR,0.30,E,VS2,,"1,620",486
237,PR,0.30,D,VS2,,"1,121",336
238,PR,0.30,D,VS2,,"1,135",341
239,PR,0.30,D,VVS1,,"1,381",414
240,PR,0.30,D,VVS1,,"1,281",384
241,PR,0.30,D,IF,,"1,624",487
242,PR,0.30,D,VVS2,,"1,340",402
243,PR,0.30,D,VVS1,,"1,256",377
244,PR,0.30,D,VVS2,,"1,276",383
245,PR,0.30,E,VS2,,"1,242",373
246,PR,0.30,D,VS2,,"1,292",388
247,PR,0.30,E,VS2,,"1,494",448
248,PR,0.30,E,VVS1,,"1,150",345
249,PR,0.30,E,IF,,"1,362",409
250,PR,0.30,E,SI2,,679,204
251,PR,0.30,F,IF,,"1,150",345
252,PR,0.30,F,IF,,"1,282",385
253,PR,0.30,G,IF,,"1,160",348
254,PR,0.30,G,IF,,"1,197",359
255,PR,0.30,I,VVS1,,944,283
256,PR,0.30,I,VVS1,,928,278
257,PR,0.30,E,VS2,,936,281
258,PR,0.30,D,VVS1,,"1,431",429
259,PR,0.30,D,SI1,,918,275
260,PR,0.30,D,VVS2,,"1,317",395
261,PR,0.30,D,VVS2,,"1,236",371
262,PR,0.30,E,VVS1,,"1,127",338
263,PR,0.30,I,VS1,,980,294
264,PR,0.30,H,VS1,,"1,136",341
265,PR,0.30,D,VS1,,"1,150",345
266,PR,0.30,H,VS2,,908,272
267,PR,0.30,H,VS2,,950,285
268,PR,0.30,G,VS2,,"1,038",311
269,PR,0.30,F,VS2,,"1,018",305
270,PR,0.30,D,VVS2,,"1,340",402
271,PR,0.30,F,VVS1,,"1,076",323
272,PR,0.30,I,VVS1,,"1,136",341
273,PR,0.30,I,VS1,,"1,120",336
274,PR,0.30,I,VS2,,"1,116",335
275,PR,0.30,I,VVS1,,"1,136",341
276,PR,0.30,I,VVS1,,"1,136",341
277,PR,0.30,D,VS1,,"1,265",380
278,PR,0.30,F,VS2,,935,280
279,PR,0.30,D,VVS2,,"1,196",359
280,PR,0.30,D,VS2,,"1,130",339
281,PR,0.30,H,VVS2,,"1,084",325
282,PR,0.30,H,VS1,,"1,052",316
283,PR,0.30,D,VS1,EX,"1,231",369
284,PR,0.30,D,VS1,EX,"1,188",356
285,PR,0.30,D,VS1,EX,"1,144",343
286,PR,0.30,D,VS1,EX,"1,209",363
287,PR,0.30,D,VS2,ID,"1,094",328
288,PR,0.30,E,VS1,EX,"1,151",345
289,PR,0.30,E,VS1,EX,"1,151",345
290,PR,0.30,D,VS2,,"1,178",353
291,PR,0.30,E,SI1,,964,289
292,PR,0.30,F,VVS1,,"1,150",345
293,PR,0.30,H,VVS2,,"1,037",311
294,PR,0.30,H,VS2,,"1,008",302
295,PR,0.30,I,VVS2,,862,259
296,PR,0.30,H,VVS2,,"1,360",408
297,PR,0.30,H,SI2,,946,284
298,PR,0.30,G,VVS2,,"1,520",456
299,PR,0.30,F,VVS2,,"1,540",462
300,PR,0.30,H,VVS1,,"1,494",448
301,PR,0.30,D,VVS2,,"1,656",497
302,PR,0.30,I,VS1,,"1,176",353
303,PR,0.30,F,VS1,,"1,520",456
304,PR,0.30,G,VS2,,"1,344",403
305,PR,0.30,I,VS1,,"1,176",353
306,PR,0.30,I,SI1,,900,270
307,PR,0.30,H,VS2,,945,284
308,PR,0.30,D,VS2,,"1,031",309
309,PR,0.30,D,VS2,,"1,159",348
310,PR,0.30,D,VS2,,"1,078",323
311,PR,0.30,H,VVS1,,"1,386",416
312,PR,0.30,G,VS2,,"1,038",311
313,PR,0.30,G,VS2,,"1,038",311
314,PR,0.30,D,VVS1,,"1,375",412
315,PR,0.30,D,VS1,,"1,260",378
316,PR,0.30,E,VS2,,"1,066",320
317,PR,0.30,E,VVS2,,"1,129",339
318,PR,0.30,E,VVS2,,"1,171",351
319,PR,0.30,E,VS1,,"1,120",336
320,PR,0.30,F,VS1,,"1,088",326
321,PR,0.30,F,VVS1,,"1,150",345
322,PR,0.30,E,VVS1,,"1,564",469
323,PR,0.30,F,SI2,EX,990,297
324,PR,0.30,F,VS2,EX,"1,157",347
325,PR,0.30,H,SI1,EX,601,180
326,PR,0.30,F,VS1,EX,"1,256",377
327,PR,0.30,J,VVS2,,900,270
328,PR,0.30,D,SI2,,769,231
329,PR,0.30,D,VVS2,,"1,254",376
330,PR,0.30,D,VS1,,"1,234",370
331,PR,0.30,E,VVS1,,"1,271",381
332,PR,0.30,F,VS1,,"1,092",328
333,PR,0.30,H,SI1,,822,247
334,PR,0.30,H,VS1,,"1,008",302
335,PR,0.30,D,VS1,,"1,470",441
336,PR,0.30,D,VS2,,"1,330",399
337,PR,0.30,E,VVS1,,"1,610",483
338,PR,0.30,E,VVS1,,"1,610",483
339,PR,0.30,D,VS2,,"1,163",349
340,PR,0.30,E,VS1,VG,"1,224",367
341,PR,0.30,H,VVS1,EX,"1,097",329
342,PR,0.30,D,VVS1,,"1,394",418
343,PR,0.30,D,VVS2,,"1,368",411
344,PR,0.30,E,VVS2,,"1,129",339
345,PR,0.30,F,SI1,,818,245
346,PR,0.30,F,VVS1,,"1,171",351
347,PR,0.30,G,VVS2,,"1,116",335
348,PR,0.30,G,VVS1,,"1,175",352
349,PR,0.30,H,VVS1,,"1,044",313
350,PR,0.30,H,VVS2,,"1,041",312
351,PR,0.30,G,VS1,,"1,350",405
352,PR,0.30,H,VS1,,"1,200",360
353,PR,0.30,I,VS1,,"1,050",315
354,PR,0.30,G,VS1,,"1,350",405
355,PR,0.30,D,VS1,,"1,400",420
356,PR,0.30,D,VVS1,,"1,450",435
357,PR,0.30,D,VS1,,"2,016",605
358,PR,0.30,D,VS2,,"1,159",348
359,PR,0.30,D,VS1,,"1,155",346
360,PR,0.30,D,VVS2,,"1,397",419
361,PR,0.30,E,VVS2,,"1,144",343
362,PR,0.30,E,VVS1,,"1,288",386
363,PR,0.30,E,VVS1,,"1,288",386
364,PR,0.30,E,SI1,,900,270
365,PR,0.30,E,VS1,,"1,145",344
366,PR,0.30,F,VS1,,"1,145",343
367,PR,0.31,E,VS2,,"1,314",407
368,PR,0.31,E,VVS1,,"1,522",472
369,PR,0.31,D,VS1,,"1,411",437
370,PR,0.31,D,VVS1,,"1,602",497
371,PR,0.31,D,VVS2,,"1,495",463
372,PR,0.31,E,VVS2,,"1,344",417
373,PR,0.31,F,VVS1,,"1,449",449
374,PR,0.31,F,VVS1,,"1,428",443
375,PR,0.31,I,VVS1,,"1,136",352
376,PR,0.31,G,VVS2,,"1,292",401
377,PR,0.31,F,VS2,,"1,156",358
378,PR,0.31,E,VVS1,,"1,564",485
379,PR,0.31,E,VVS2,,"1,428",443
380,PR,0.31,E,VVS1,,"1,564",485
381,PR,0.31,F,VS1,,"1,292",401
382,PR,0.31,E,VS2,,"1,242",385
383,PR,0.31,G,VVS2,,"1,330",412
384,PR,0.31,D,SI2,,855,265
385,PR,0.31,E,VS2,,"1,260",391
386,PR,0.31,F,VS1,,"1,311",406
387,PR,0.31,E,SI2,,896,278
388,PR,0.31,E,VVS1,,"1,587",492
389,PR,0.31,D,VVS2,,"1,679",520
390,PR,0.31,J,VVS1,,"1,105",343
391,PR,0.31,E,VS2,,"1,296",402
392,PR,0.31,D,SI1,,"1,360",422
393,PR,0.31,D,VVS2,,"1,541",478
394,PR,0.31,F,VVS2,,"1,360",422
395,PR,0.31,F,VVS2,,"1,840",570
396,PR,0.31,F,SI2,,"1,051",326
397,PR,0.31,I,SI2,,981,304
398,PR,0.31,H,SI1,,"1,051",326
399,PR,0.31,G,VVS1,,"1,160",360
400,PR,0.31,D,VVS2,,"1,454",451
401,PR,0.31,E,VVS1,,"1,495",463
402,PR,0.31,D,VVS2,,"1,495",463
403,PR,0.31,D,VS2,,"1,064",330
404,PR,0.31,F,VS2,,"1,003",311
405,PR,0.31,D,VS1,,"1,197",371
406,PR,0.31,E,VS1,,"1,360",422
407,PR,0.31,E,VS1,,"1,360",422
408,PR,0.31,D,VVS2,,"1,495",463
409,PR,0.31,E,VS1,,"1,360",422
410,PR,0.31,F,VS1,,"1,292",401
411,PR,0.31,F,VVS2,,"1,180",366
412,PR,0.31,E,VVS1,,"1,265",392
413,PR,0.31,G,VS2,,"1,060",329
414,PR,0.31,D,VS1,,"1,213",376
415,PR,0.31,D,VS1,,"1,166",361
416,PR,0.31,D,VVS2,,"1,248",387
417,PR,0.31,E,VVS1,,"1,276",396
418,PR,0.31,E,VVS2,,"1,171",363
419,PR,0.31,E,VVS2,,"1,176",365
420,PR,0.31,E,VVS2,,"1,218",378
421,PR,0.31,E,VVS2,,"1,186",368
422,PR,0.31,E,VVS2,,"1,202",373
423,PR,0.31,E,VVS2,,"1,186",368
424,PR,0.31,E,VVS1,,"1,334",414
425,PR,0.31,E,VVS2,,"1,150",356
426,PR,0.31,D,VVS1,,"1,400",434
427,PR,0.31,G,VVS1,,"1,320",409
428,PR,0.31,G,VVS2,,"1,273",395
429,PR,0.31,E,VS1,,"1,280",397
430,PR,0.31,D,VS1,,"1,323",410
431,PR,0.31,E,SI1,,"1,072",332
432,PR,0.31,E,VVS1,,"1,472",456
433,PR,0.31,D,VS2,,"1,197",371
434,PR,0.31,D,VS2,,"1,197",371
435,PR,0.31,E,SI1,,"1,072",332
436,PR,0.31,G,VVS2,,"1,273",395
437,PR,0.31,G,VS1,,"1,260",391
438,PR,0.31,G,VVS1,,"1,120",347
439,PR,0.31,E,VS2,,"1,170",363
440,PR,0.31,D,VVS2,,"1,449",449
441,PR,0.31,F,VS1,,"1,311",406
442,PR,0.31,H,VVS1,,"1,206",374
443,PR,0.31,F,VVS1,,"1,425",442
444,PR,0.31,E,VVS1,,"1,259",390
445,PR,0.31,D,VVS2,,"1,242",385
446,PR,0.31,I,VVS2,,"1,050",326
447,PR,0.31,D,VS2,,"1,192",370
448,PR,0.31,E,VS2,,"1,152",357
449,PR,0.31,F,VS1,,"1,102",342
450,PR,0.31,G,VS1,,"1,147",356
451,PR,0.31,I,VVS1,,"1,040",322
452,PR,0.31,G,VS2,,"1,440",446
453,PR,0.31,D,VVS1,,"1,281",397
454,PR,0.31,D,VVS1,,"1,344",417
455,PR,0.31,D,VVS2,,"1,909",592
456,PR,0.31,E,VS2,,"1,494",463
457,PR,0.31,H,VVS1,,"1,040",322
458,PR,0.31,E,VVS2,,"1,181",366
459,PR,0.31,E,VS2,,"1,296",402
460,PR,0.31,G,VS1,,"1,260",391
461,PR,0.31,H,VS2,,950,294
462,PR,0.31,D,VVS1,,"1,431",444
463,PR,0.31,I,VVS2,,960,298
464,PR,0.31,I,VVS2,,"1,125",349
465,PR,0.31,E,VS1,,"1,200",372
466,PR,0.31,E,VS2,,"1,008",312
467,PR,0.31,D,VS1,,"1,318",408
468,PR,0.31,E,VVS1,,"1,213",376
469,PR,0.31,F,VS1,,"1,235",383
470,PR,0.31,J,VVS1,,"1,092",339
471,PR,0.31,J,VS2,VG,800,248
472,PR,0.31,I,SI2,EX,800,248
473,PR,0.31,E,VS2,EX,"1,137",353
474,PR,0.31,F,VS1,EX,966,299
475,PR,0.31,E,VS1,EX,"1,069",331
476,PR,0.31,F,VS1,EX,"1,200",372
477,PR,0.31,F,VS1,EX,"1,108",344
478,PR,0.31,F,VVS2,EX,"1,264",392
479,PR,0.31,I,SI1,,"1,100",341
480,PR,0.31,F,IF,,"1,426",442
481,PR,0.31,G,VVS1,,"1,200",372
482,PR,0.31,D,VVS1,,"1,875",581
483,PR,0.31,E,VVS1,,"1,610",499
484,PR,0.31,E,VVS1,,"1,610",499
485,PR,0.31,E,VVS1,,"1,610",499
486,PR,0.31,E,VVS2,,"1,575",488
487,PR,0.31,E,VS1,,"1,400",434
488,PR,0.31,E,VS1,,"1,500",465
489,PR,0.31,E,VS1,,"1,400",434
490,PR,0.31,E,VVS2,EX,"1,273",395
491,PR,0.31,F,VS2,VG,"1,081",335
492,PR,0.31,I,VS1,EX,867,269
493,PR,0.31,E,VVS1,,"1,288",399
494,PR,0.31,E,VVS2,,"1,228",381
495,PR,0.31,E,VVS1,,"1,234",383
496,PR,0.31,H,VVS2,,"1,037",321
497,PR,0.31,D,VS1,,"1,239",384
498,PR,0.31,D,VVS2,,"1,397",433
499,PR,0.31,D,VVS1,,"1,550",480
500,PR,0.32,H,VVS2,,"1,108",354
501,PR,0.32,F,VVS2,,"1,460",467
502,PR,0.32,D,VVS1,,"1,160",371
503,PR,0.32,F,VVS1,,"1,386",444
504,PR,0.32,D,IF,,"2,001",640
505,PR,0.32,D,VS2,,"1,311",420
506,PR,0.32,H,VVS2,,"1,207",386
507,PR,0.32,F,IF,,"1,587",508
508,PR,0.32,G,VVS1,,"1,360",435
509,PR,0.32,F,VVS1,,"1,428",457
510,PR,0.32,F,VVS1,,"1,428",457
511,PR,0.32,G,VVS1,,"1,340",429
512,PR,0.32,D,IF,,"2,059",659
513,PR,0.32,D,IF,,"2,088",668
514,PR,0.32,D,SI1,,"1,190",381
515,PR,0.32,D,SI1,,"1,173",375
516,PR,0.32,E,VS2,,"1,242",397
517,PR,0.32,E,IF,,"1,220",390
518,PR,0.32,F,VS1,,"1,311",420
519,PR,0.32,E,VS2,,"1,314",420
520,PR,0.32,D,VVS1,,"1,550",496
521,PR,0.32,E,VVS1,,"1,495",478
522,PR,0.32,E,VVS1,,"1,644",526
523,PR,0.32,D,VS1,,"1,365",437
524,PR,0.32,E,VS1,,"1,280",410
525,PR,0.32,E,VS1,,"1,360",435
526,PR,0.32,F,VS1,,"1,311",420
527,PR,0.32,D,VS1,,"1,470",470
528,PR,0.32,F,VVS2,,"1,257",402
529,PR,0.32,F,VVS2,,"1,240",397
530,PR,0.32,D,IF,,"1,943",622
531,PR,0.32,E,VS1,,"1,280",410
532,PR,0.32,E,VS2,,"1,170",374
533,PR,0.32,D,VVS2,,"1,472",471
534,PR,0.32,D,VVS2,,"1,472",471
535,PR,0.32,G,VVS2,,"1,178",377
536,PR,0.32,F,VVS2,,"1,320",422
537,PR,0.32,D,SI1,,"1,122",359
538,PR,0.32,D,VS1,,"1,323",423
539,PR,0.32,D,VS1,,"1,323",423
540,PR,0.32,I,VVS1,,976,312
541,PR,0.32,E,VVS2,,"1,575",504
542,PR,0.32,E,VVS1,,"1,259",403
543,PR,0.32,E,VS1,,"1,140",365
544,PR,0.32,H,VVS2,,"1,054",337
545,PR,0.32,D,VS2,,"1,192",381
546,PR,0.32,D,VS2,,"1,140",365
547,PR,0.32,F,IF,,"2,070",662
548,PR,0.32,D,VVS2,,"1,374",440
549,PR,0.32,D,IF,,"1,718",550
550,PR,0.32,E,VS2,,"1,494",478
551,PR,0.32,F,VVS2,,"1,660",531
552,PR,0.32,I,SI1,,572,183
553,PR,0.32,D,VS2,,"1,102",353
554,PR,0.32,E,VS2,,"1,224",392
555,PR,0.32,D,SI1,,"1,190",381
556,PR,0.32,D,VS2,,"1,292",413
557,PR,0.32,G,VVS1,,"1,175",376
558,PR,0.32,G,VS1,,"1,483",475
559,PR,0.32,E,VS2,,"1,053",337
560,PR,0.32,D,VS1,,"1,050",336
561,PR,0.32,F,VVS1,,"1,197",383
562,PR,0.32,D,VVS1,,"1,375",440
563,PR,0.32,G,VS1,,"1,260",403
564,PR,0.32,H,VS1,,"1,248",399
565,PR,0.32,E,VS2,,"1,282",410
566,PR,0.32,E,VVS1,EX,"1,230",393
567,PR,0.32,E,VVS2,EX,"1,266",405
568,PR,0.32,G,VVS1,,"2,000",640
569,PR,0.32,I,SI1,,"1,100",352
570,PR,0.32,G,VVS1,,"1,140",365
571,PR,0.32,D,VVS1,,"1,200",384
572,PR,0.32,E,VVS1,,"1,610",515
573,PR,0.32,F,VVS1,G,"1,251",400
574,PR,0.32,F,VVS1,EX,"1,321",423
575,PR,0.32,D,VVS2,,"1,397",447
576,PR,0.33,G,SI1,,840,277
577,PR,0.33,J,SI1,,702,232
578,PR,0.33,E,SI1,,"1,200",396
579,PR,0.33,H,VS1,,"1,040",343
580,PR,0.33,H,VS1,,"1,714",566
581,PR,0.33,F,VS1,,"1,050",346
582,PR,0.33,E,VS2,,"1,062",350
583,PR,0.33,E,VS1,,"1,280",422
584,PR,0.33,E,SI1,,"1,072",354
585,PR,0.33,G,VVS2,,"1,273",420
586,PR,0.33,F,VVS1,,"1,407",464
587,PR,0.33,G,VVS1,,"1,320",436
588,PR,0.33,D,VS1,,"1,375",454
589,PR,0.33,D,VS1,,"1,400",462
590,PR,0.33,E,SI1,,"1,120",370
591,PR,0.33,E,VS1,,"1,360",449
592,PR,0.33,F,VS1,,893,295
593,PR,0.33,G,VS1,,990,327
594,PR,0.33,D,VVS2,,"1,357",448
595,PR,0.33,E,VVS1,,"1,259",416
596,PR,0.33,E,VVS2,,"1,202",397
597,PR,0.33,F,SI1,,"1,170",386
598,PR,0.33,G,VS2,,"1,248",412
599,PR,0.33,F,VVS1,,"1,197",395
600,PR,0.33,D,VVS2,,"1,288",425
601,PR,0.33,F,VS2,,"1,122",370
